,Valor_Numerico,ID_Municipio,Nombre_Municipio,ID_Indicador,Nombre_Indicador,Hombres,Mujeres,Porcentaje de población con ingreso inferior a la línea de pobreza por ingresos,Porcentaje de población con ingreso inferior a la línea de pobreza extrema por ingresos,Porcentaje de personas de 15 años y más alfabetas,Grado promedio de escolaridad de la población de 15 y más años,Porcentaje de personas con rezago educativo,Promedio de alumnos inscritos por escuela de nivel preescolar,Promedio de alumnos inscritos por escuela de nivel primaria,Promedio de alumnos inscritos por escuela de nivel secundaria,Promedio de alumnos atendidos por grupo de nivel preescolar,Promedio de alumnos atendidos por grupo de nivel primaria,Promedio de alumnos atendidos por grupo de nivel secundaria,Promedio de alumnos atendidos por un maestro en el nivel preescolar,Promedio de alumnos atendidos por un maestro en el nivel primaria,Promedio de alumnos atendidos por un maestro en el nivel secundaria,Porcentaje de población en situación de pobreza,Porcentaje de población en situación de pobreza extrema,Porcentaje de población en situación de pobreza moderada,Porcentaje de población vulnerable por carencias sociales,Porcentaje de población vulnerable por ingresos,Porcentaje de población no pobre y no vulnerable,Porcentaje de población con carencia por acceso a los servicios de salud,Porcentaje de población con carencia por acceso a la seguridad social,Porcentaje de población con carencia por calidad y espacios de la vivienda,Porcentaje de población con carencia por acceso a los servicios básicos en la vivienda,Porcentaje de población con carencia por acceso a la alimentación,Porcentaje de población con al menos una carencia social,Porcentaje de población con tres o más carencias sociales
2025,,151,ID_151,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,153.0,380.6667,307.3333,,,,,,,,,,,,,,,,,,,
2022,,152,ID_152,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,37.0,127.75,75.6667,,,,,,,,,,,,,,,,,,,
2023,,152,ID_152,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,34.7692,127.3333,76.4444,,,,,,,,,,,,,,,,,,,
2024,,152,ID_152,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,31.6923,124.0,79.1111,,,,,,,,,,,,,,,,,,,
2025,,152,ID_152,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,31.4615,120.1667,76.6667,,,,,,,,,,,,,,,,,,,
2022,,153,ID_153,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,74.7143,181.7333,162.875,,,,,,,,,,,,,,,,,,,
2023,,153,ID_153,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,78.9286,182.1333,159.25,,,,,,,,,,,,,,,,,,,
2024,,153,ID_153,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,70.4667,184.2667,157.125,,,,,,,,,,,,,,,,,,,
2025,,153,ID_153,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,60.2222,169.5625,142.4444,,,,,,,,,,,,,,,,,,,
2022,,154,ID_154,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,95.3429,306.8788,238.9474,,,,,,,,,,,,,,,,,,,
2023,,154,ID_154,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,98.3429,294.9706,245.0,,,,,,,,,,,,,,,,,,,
2024,,154,ID_154,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,95.9143,294.2647,250.0526,,,,,,,,,,,,,,,,,,,
2025,,154,ID_154,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,86.6585,280.5897,237.2174,,,,,,,,,,,,,,,,,,,
2022,,155,ID_155,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,27.7273,56.7692,69.6667,,,,,,,,,,,,,,,,,,,
2023,,155,ID_155,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,30.8182,57.0,71.1667,,,,,,,,,,,,,,,,,,,
2024,,155,ID_155,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,32.5455,57.2308,71.5,,,,,,,,,,,,,,,,,,,
2025,,155,ID_155,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,31.7273,57.1538,77.3333,,,,,,,,,,,,,,,,,,,
2022,,156,ID_156,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,86.5743,335.8242,367.4474,,,,,,,,,,,,,,,,,,,
2023,,156,ID_156,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,95.6765,338.7582,357.8974,,,,,,,,,,,,,,,,,,,
2024,,156,ID_156,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,93.0588,335.6923,373.1282,,,,,,,,,,,,,,,,,,,
2025,,156,ID_156,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,74.0805,272.8425,287.2881,,,,,,,,,,,,,,,,,,,
2022,,157,ID_157,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,26.3043,69.0,47.6923,,,,,,,,,,,,,,,,,,,
2023,,157,ID_157,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,27.1304,66.0435,46.6923,,,,,,,,,,,,,,,,,,,
2024,,157,ID_157,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,24.2917,62.5833,47.0,,,,,,,,,,,,,,,,,,,
2025,,157,ID_157,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,23.7083,57.1538,48.3571,,,,,,,,,,,,,,,,,,,
2022,,158,ID_158,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,19.75,41.4118,41.7143,,,,,,,,,,,,,,,,,,,
2023,,158,ID_158,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,18.4286,39.1765,42.7143,,,,,,,,,,,,,,,,,,,
2024,,158,ID_158,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,18.0,39.75,42.8571,,,,,,,,,,,,,,,,,,,
2025,,158,ID_158,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,17.2,37.1875,47.1429,,,,,,,,,,,,,,,,,,,
2022,,159,ID_159,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,33.0,84.75,43.0,,,,,,,,,,,,,,,,,,,
2023,,159,ID_159,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,36.0,83.5,62.5,,,,,,,,,,,,,,,,,,,
2024,,159,ID_159,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,32.5,83.5,46.0,,,,,,,,,,,,,,,,,,,
2025,,159,ID_159,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,33.5,81.0,54.6667,,,,,,,,,,,,,,,,,,,
2022,,160,ID_160,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,29.1429,64.75,48.6,,,,,,,,,,,,,,,,,,,
2023,,160,ID_160,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,22.625,64.75,43.8333,,,,,,,,,,,,,,,,,,,
2024,,160,ID_160,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,20.75,63.375,43.3333,,,,,,,,,,,,,,,,,,,
2025,,160,ID_160,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,22.0,60.0,41.0,,,,,,,,,,,,,,,,,,,
2022,,161,ID_161,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,59.4167,272.7,210.6667,,,,,,,,,,,,,,,,,,,
2023,,161,ID_161,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,73.8333,274.3,214.8333,,,,,,,,,,,,,,,,,,,
2024,,161,ID_161,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,66.8462,250.4545,228.8333,,,,,,,,,,,,,,,,,,,
2025,,161,ID_161,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,67.3846,253.5455,236.0,,,,,,,,,,,,,,,,,,,
2022,,162,ID_162,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,60.0,171.6667,115.0,,,,,,,,,,,,,,,,,,,
2023,,162,ID_162,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,60.25,171.0,77.3333,,,,,,,,,,,,,,,,,,,
2024,,162,ID_162,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,56.25,130.75,71.3333,,,,,,,,,,,,,,,,,,,
2025,,162,ID_162,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,54.5,132.75,69.6667,,,,,,,,,,,,,,,,,,,
2022,,163,ID_163,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,173.0,396.6667,475.5,,,,,,,,,,,,,,,,,,,
2023,,163,ID_163,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,185.25,395.5,527.0,,,,,,,,,,,,,,,,,,,
2024,,163,ID_163,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,178.5,389.8333,369.0,,,,,,,,,,,,,,,,,,,
2025,,163,ID_163,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,179.25,379.8333,389.3333,,,,,,,,,,,,,,,,,,,
2022,,164,ID_164,52,Promedio alumnos inscritos por escuela (Básica),,,,,,,,93.973,280.3077,200.75,,,,,,,,,,,,,,,,,,,
